23776, 1
15522, 4
5038, 1
16022, 1
29111, 4
15122, 3
21378, 2
32877, 1
17957, 2
7985, 3
27020, 1
17429, 5
42708, 3
28540, 4
17431, 3
26389, 2
3205, 1
20656, 5
40863, 1
32942, 2
165, 1
29453, 1
35240, 5
42642, 1
21437, 5
18229, 3
42805, 1
29371, 5
7763, 2
12094, 1
39833, 3
5634, 4
31305, 5
2424, 1
13960, 5
23650, 5
18021, 5
39564, 1
15812, 1
9354, 5
3549, 1
40019, 1
30718, 5
39099, 5
32551, 1
24846, 1
7854, 5
31208, 1
13320, 2
6488, 1
17387, 1
8670, 4
18297, 5
22887, 5
24259, 4
105, 5
17309, 5
3727, 4
2010, 5
35675, 2
30620, 4
21364, 2
35227, 4
9926, 5
41699, 4
14712, 5
38368, 4
32294, 5
10120, 5
10578, 5
6466, 4
5302, 5
29040, 5
30864, 4
15003, 1
23405, 5
12628, 5
14246, 5
25053, 3
37057, 1
20403, 5
41457, 5
30907, 5
12432, 4
12056, 1
18371, 2
35137, 5
22515, 5
24323, 4
497, 5
9504, 4
6921, 2
880, 5
32479, 2
1746, 1
19393, 5
3907, 1
8054, 2
26168, 4
32881, 5
26676, 5
24336, 1
13165, 1
4330, 1
33219, 4
535, 4
6268, 1
40556, 4
12806, 5
7951, 4
30258, 1
8826, 5
35612, 1
33883, 1
23880, 1
19707, 1
25022, 4
33781, 4
6128, 2
8900, 1
864, 5
17169, 4
6329, 3
11207, 3
32834, 4
25783, 5
24910, 1
12200, 4
28302, 4
22467, 4
7546, 4
8707, 2
13584, 1
14772, 3
33109, 5
38049, 1
40357, 1
23184, 3
42528, 5
39916, 5
32674, 1
13214, 5
9679, 1
42348, 5
22955, 1
42106, 3
19773, 1
31135, 1
19222, 3
14909, 2
36075, 1
27788, 1
13915, 5
38849, 1
25545, 1
2219, 5
31748, 1
12445, 3
23341, 1
7192, 1
40669, 1
7061, 5
1490, 4
26990, 1
38164, 1
14808, 1
40000, 3
34259, 4
38739, 1
1570, 2
39879, 4
3621, 4
24055, 5
7070, 1
6913, 4
34107, 1
18962, 1
36133, 1
10673, 2
10977, 5
19700, 5
3545, 1
40437, 4
6652, 5
31401, 2
37919, 2
38548, 4
37082, 1
15245, 4
16807, 1
16577, 1
5673, 1
36129, 1
12453, 5
24914, 3
33621, 4
28475, 1
8901, 5
31407, 4
37189, 1
19482, 4
31992, 4
